jittered_title,seed_title,onet_code,onet_name
Experienced Automotive Instructor - Curriculum Development Opportunity,Automotive Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Coach Operator - Fixed Route (CDL Required),Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
Motor Coach Operator - Charter & Tour Services,Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
"Transit Coach Operator - Part-Time, Flexible Scheduling",Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
Coach Operator Trainer - Lead Instructional Role,Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
Paratransit Coach Operator - Assisting Passengers with Disabilities,Coach Operator,53-3052.00,"Bus Drivers, Transit and Intercity"
Medical Dosimetrist - Radiation Oncology Department,Medical Dosimetrist,29-1124.00,Radiation Therapists
"Certified Medical Dosimetrist (CMD) - Full-Time, Competitive Pay",Medical Dosimetrist,29-1124.00,Radiation Therapists
Senior Medical Dosimetrist - Leadership Opportunity in Cancer Center,Medical Dosimetrist,29-1124.00,Radiation Therapists
Medical Dosimetrist - Research Study Coordinator (Grant-Funded),Medical Dosimetrist,29-1124.00,Radiation Therapists
Entry-Level Medical Dosimetrist - Training Program Available (No Experience Necessary),Medical Dosimetrist,29-1124.00,Radiation Therapists
Interior Design Consultant - Residential Focus (Commission-Based),Interior Design Consultant,27-1025.00,Interior Designers
Commercial Interior Design Consultant - Corporate Accounts,Interior Design Consultant,27-1025.00,Interior Designers
Senior Interior Design Consultant - High-End Retail Clients,Interior Design Consultant,27-1025.00,Interior Designers
Interior Design Consultant - Home Staging & Redesign Services,Interior Design Consultant,27-1025.00,Interior Designers
Interior Design Consultant - Sustainable & Eco-Friendly Design Specialty,Interior Design Consultant,27-1025.00,Interior Designers
Food Chemist - Quality Control Laboratory (FDA Regulations),Food Chemist,19-1012.00,Food Scientists and Technologists
Senior Food Chemist - Product Development & Formulation,Food Chemist,19-1012.00,Food Scientists and Technologists
Food Chemist - Microbiology & Food Safety Specialist,Food Chemist,19-1012.00,Food Scientists and Technologists
Research Food Chemist - University Laboratory Setting (Grant-Funded),Food Chemist,19-1012.00,Food Scientists and Technologists
Food Chemist - Regulatory Compliance & Labeling Expertise (Consulting Firm),Food Chemist,19-1012.00,Food Scientists and Technologists
Training Specialist - Leadership Development (Remote Option),Training Specialist,13-1151.00,Training and Development Specialists
Senior Training Specialist - Corporate Learning & Development,Training Specialist,13-1151.00,Training and Development Specialists
Training Specialist Needed - Create Engaging Workshops (Full-Time),Training Specialist,13-1151.00,Training and Development Specialists
Technical Training Specialist - Software Applications (Contract),Training Specialist,13-1151.00,Training and Development Specialists
Learning & Development Training Specialist - East Coast Team,Training Specialist,13-1151.00,Training and Development Specialists
Hematopathologist - Academic Medical Center (Tenure Track),Hematopathologist,29-1222.00,"Physicians, Pathologists"
"Staff Hematopathologist - $400,000+ Salary + Bonus",Hematopathologist,29-1222.00,"Physicians, Pathologists"
Hematopathologist Opportunity - Join Our Team of Experts (Part-Time),Hematopathologist,29-1222.00,"Physicians, Pathologists"
Hematopathologist (MD/DO) - Medical Director Role,Hematopathologist,29-1222.00,"Physicians, Pathologists"
Hematopathology Specialist - Research Focus (Postdoc Position),Hematopathologist,29-1222.00,"Physicians, Pathologists"
Cosmetology Instructor - Esthetics Program (Full-Time Faculty),Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Beauty School Instructor - Cosmetology Program (Part-Time),Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Experienced Cosmetology Instructor Wanted - Adult Education,Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Cosmetology Instructor - Nail Technology Specialist (Contract),Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
State Board Certified Cosmetology Instructor - Vocational School,Cosmetology Instructor,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
Telemarketer - Entry Level Sales Representative (Base + Commission),Telemarketer,41-9041.00,Telemarketers
Telemarketing Representative - Fundraising Campaigns (Non-Profit),Telemarketer,41-9041.00,Telemarketers
Inside Sales Telemarketer - Business to Business (B2B),Telemarketer,41-9041.00,Telemarketers
Telemarketing Agent - Customer Service & Sales (Work from Home),Telemarketer,41-9041.00,Telemarketers
Senior Telemarketer - Account Management & Sales Growth,Telemarketer,41-9041.00,Telemarketers
Green Sand Molder - Foundry Experience Required (2nd Shift),Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
"Molder - Green Sand (Full-Time, Competitive Pay & Benefits)",Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Skilled Green Sand Molder - Pattern Maker Experience a Plus,Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Green Sand Molder/Caster - Manufacturing Team Member (Entry Level),Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Foundry Worker - Green Sand Molder (Temporary to Permanent Position),Green Sand Molder,51-4071.00,Foundry Mold and Coremakers
Clock Repair Technician - Luxury Watches & Timepieces,Clock Repair Technician,49-9064.00,Watch and Clock Repairers
Senior Clockmaker/Technician - Historic Preservation Team,Clock Repair Technician,49-9064.00,Watch and Clock Repairers
Horologist/Clock Repair Tech - Museum Setting,Clock Repair Technician,49-9064.00,Watch and Clock Repairers
Clock Repair & Restoration Specialist - Family-Owned Business,Clock Repair Technician,49-9064.00,Watch and Clock Repairers
Timepiece Technician - High-End Clock Repair Service,Clock Repair Technician,49-9064.00,Watch and Clock Repairers
Parking Enforcement Officer - Downtown Area (Part-Time),Parking Enforcement Technician,33-3041.00,Parking Enforcement Workers
Parking Enforcement Technician - Municipal Government,Parking Enforcement Technician,33-3041.00,Parking Enforcement Workers
Boot & Tow Technician - Parking Enforcement Team,Parking Enforcement Technician,33-3041.00,Parking Enforcement Workers
Parking Citation Enforcement Technician - University Campus,Parking Enforcement Technician,33-3041.00,Parking Enforcement Workers
Parking Enforcement Specialist - Mobile Patrol Unit,Parking Enforcement Technician,33-3041.00,Parking Enforcement Workers
Front End Web Developer - E-commerce Platform (React/Angular),Front End Developer,15-1252.00,Software Developers
"Senior Frontend Developer - JavaScript, HTML/CSS, UX/UI",Front End Developer,15-1252.00,Software Developers
Front End Developer (Client-Side) - Financial Services Company,Front End Developer,15-1252.00,Software Developers
"Frontend Engineer - Web Applications (Vue.js, Node.js)",Front End Developer,15-1252.00,Software Developers
Junior Front End Developer - Web Design & Development Agency,Front End Developer,15-1252.00,Software Developers
Business Continuity & Disaster Recovery Specialist - Financial Institution,Business Continuity Professional,13-1199.04,Business Continuity Planners
Senior Business Continuity Professional - Global Risk Management,Business Continuity Professional,13-1199.04,Business Continuity Planners
Business Continuity Planner - IT Disaster Recovery,Business Continuity Professional,13-1199.04,Business Continuity Planners
Business Continuity Manager - Operational Resilience,Business Continuity Professional,13-1199.04,Business Continuity Planners
Business Continuity Coordinator - Emergency Management & Response,Business Continuity Professional,13-1199.04,Business Continuity Planners
